INFO:root:Fall detected at hip height: 1.32, shoulder height: 0.75
INFO:root:Fall detected at hip height: 1.18, shoulder height: 0.72
INFO:root:Fall detected at hip height: 1.22, shoulder height: 0.75
INFO:root:Fall detected at hip height: 1.43, shoulder height: 0.73
INFO:root:Fall detected at hip height: 1.43, shoulder height: 0.75
INFO:root:Fall detected at hip height: 1.42, shoulder height: 0.74
INFO:root:Fall detected at hip height: 0.59, shoulder height: 0.00
INFO:root:Fall detected at hip height: 0.52, shoulder height: 0.08
INFO:root:Fall detected at hip height: 0.47, shoulder height: 0.03
INFO:root:Fall detected at hip height: 0.51, shoulder height: 0.08
INFO:root:Fall detected at hip height: 0.53, shoulder height: 0.16
INFO:root:Fall detected at hip height: 0.52, shoulder height: 0.10
INFO:root:Fall detected at hip height: 0.54, shoulder height: 0.12
INFO:root:Fall detected at hip height: 0.49, shoulder height: 0.10
INFO:root:Fall detected at hip height: 0.42, shoulder height: 0.09
INFO:root:Fall detected at hip height: 0.41, shoulder height: -0.06
INFO:root:Fall detected at hip height: 0.62, shoulder height: 0.04
INFO:root:Fall detected at hip height: 0.57, shoulder height: 0.42
INFO:root:Fall detected at hip height: 0.59, shoulder height: 0.44
INFO:root:Fall detected at hip height: 0.62, shoulder height: 0.47
INFO:root:Fall detected at hip height: 0.52, shoulder height: -0.06
INFO:root:Fall detected at hip height: 0.61, shoulder height: 0.07
INFO:root:Fall detected at hip height: 0.55, shoulder height: -0.07
INFO:root:Fall detected at hip height: 0.55, shoulder height: -0.09
INFO:root:Fall detected at hip height: 0.57, shoulder height: -0.05
INFO:root:Fall detected at hip height: 0.56, shoulder height: -0.04
INFO:root:Fall detected at hip height: 0.58, shoulder height: -0.02
INFO:root:Fall detected at hip height: 0.56, shoulder height: -0.09
INFO:root:Fall detected at hip height: 0.56, shoulder height: -0.03
INFO:root:Fall detected at hip height: 0.55, shoulder height: -0.03
INFO:root:Fall detected at hip height: 0.56, shoulder height: -0.08
INFO:root:Fall detected at hip height: 0.53, shoulder height: -0.06
INFO:root:Fall detected at hip height: 0.56, shoulder height: 0.00
INFO:root:Fall detected at hip height: 0.56, shoulder height: 0.00
INFO:root:Fall detected at hip height: 0.57, shoulder height: 0.39
INFO:root:Fall detected at hip height: 0.58, shoulder height: 0.05
INFO:root:Fall detected at hip height: 0.57, shoulder height: 0.03
INFO:root:Fall detected at hip height: 0.55, shoulder height: -0.02
INFO:root:Fall detected at hip height: 0.56, shoulder height: 0.01
INFO:root:Fall detected at hip height: 0.60, shoulder height: 0.10
INFO:root:Fall detected at hip height: 0.84, shoulder height: 0.12
INFO:root:Fall detected at hip height: 0.56, shoulder height: 0.38
INFO:root:Fall detected at hip height: 0.58, shoulder height: 0.43
INFO:root:Fall detected at hip height: 1.41, shoulder height: 0.42
INFO:root:Fall detected at hip height: 0.97, shoulder height: 0.31
INFO:root:Fall detected at hip height: 0.91, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.90, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.89, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.90, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.84, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.30
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.29
INFO:root:Fall detected at hip height: 0.83, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.82, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.84, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.84, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.84, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.86, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.85, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.83, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.81, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.80, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.74, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.76, shoulder height: 0.26
INFO:root:Fall detected at hip height: 0.74, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.74, shoulder height: 0.25
INFO:root:Fall detected at hip height: 0.78, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.74, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.72, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.73, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.75, shoulder height: 0.27
INFO:root:Fall detected at hip height: 0.77, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.82, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.77, shoulder height: 0.28
INFO:root:Fall detected at hip height: 0.70, shoulder height: 0.28
